Question_ID,Question,Category,Ground_Truth,Generated_Answer,MRR,F1,Recall@K,Response_Time,Error_Type,Rank,Confidence
31,What is the name of the hospital that Central and North West London NHS Foundation Trust is a part of?,factual,Hounslow,"The relevant sentence in the passage is: Central and North West London NHS Foundation Trust is an NHS Foundation Trust in England . It provides healthcare in London , Milton Keynes , Surrey and elsewhere . It was created in 2002 by a merger between Brent , Kensington & Chelsea , Westminster Mental Health NHS Trust , Harrow and Hillingdon Healthcare Trust , and the substance misuse service component of Hounslow and Spelthorne Community and Mental Health NHS",1.0,0.0392156862745098,1,5.01,Generation Error (Low Overlap),1,0.007825920230395092
32,What may be the reason for the use of BERT ?,inferential,It is a search engine that is used to find information .,explore neural ranking models that outperformed traditional lexical-based methods,1.0,0.09999999999999999,1,1.041,Generation Error (Low Overlap),1,0.09596928982725529
33,What is the main reason that the State List grants the states control over the police ?,factual,The state is a state .,The State List is the only list in the Seventh Schedule that provides powers for the states .,1.0,0.4210526315789473,1,1.271,Success,1,0.3310162197947699
34,What is the primary source of electrons in water ?,factual,(iv),The relevant sentence in the passage is: Light absorption is the initial step of photosynthesis whereby light energy is absorbed by chlorophyll pigments attached to proteins in the thylakoid membranes .,0.0,0.0,0,2.687,Retrieval Error (Source Not Found),N/A,0.0
35,Which of the following is true of Hans Carl von Carlowitz ?,comparative,He is a senior mining administrator .,"The relevant sentence in the passage is: ''Over-exploitation of natural resources . '' In 1713 , Hans Carl von Carlowitz developed the concept of managing forests for sustained yield .",1.0,0.0625,1,2.498,Generation Error (Low Overlap),1,0.02501000400160064
36,What may be the reason for the lack of ad hoc action ?,inferential,The power of government is not a factor in the decision making process .,data .,0.3333333333333333,0.13333333333333336,1,0.465,Generation Error (Low Overlap),3,0.2861230329041488
37,What happened to the Germans in the early 1950s?,factual,They began to re-industrialize and rebuild the West Germ,to the Soviet Union,0.0,0.30769230769230765,0,0.521,Retrieval Error (Source Not Found),N/A,0.5894488653109342
38,Which programming language is the most popular according to the TIOBE index ?,comparative,(iii),Imperative,1.0,0.0,1,0.497,Generation Error (Low Overlap),1,0.0
39,"Which happened first, the Entente Cordiale or the Anglo-Russian Convention?",comparative,Entente Cordiale,historic empires,0.5,0.0,1,0.453,Generation Error (Low Overlap),2,0.0
40,What may be the reason for Pickering 's vision ?,inferential,He wanted to see the stars .,presbyopia and hyperopia conditions .,0.2,0.16666666666666666,1,0.801,Generation Error (Low Overlap),5,0.2078137988362427
41,What is the most likely reason that the chimpanzees are a different species than humans?,factual,They share a common ancestor.,are related,1.0,0.0,1,0.423,Generation Error (Low Overlap),1,0.0
42,What may be the reason for the event being called the Declaration of Delhi ?,inferential,The event was a political event .,The relevant sentence in the passage is: The Statute lays the compliance with the rule of law principles as a condition for the European states to be a full member of the organization .,1.0,0.1875,1,2.271,Generation Error (Low Overlap),1,0.08252640845070423
43,Which country is the DWT for ?,comparative,Lebanon,"The relevant information to answer the above question is: Country and liaison offices In Africa : Abidjan , Abuja , Addis Ababa , Algiers , Antananarivo , Cairo , Dakar , Dar es Salaam , Harare , Kinshasa , Lusaka , Pretoria , Yaoundé , Lebanon DWT for South Asia , in New Delhi ,",1.0,0.05,1,5.093,Generation Error (Low Overlap),1,0.009815469179426776
44,Which of the following is true of the Beatles ?,comparative,They were a band .,"The sentence '' The English Army had just won the war '' was a reference to Lennon 's role in the film How I Won the War , which he had filmed during September and October 1966 .",1.0,0.1142857142857143,1,2.897,Generation Error (Low Overlap),1,0.039436064280784784
45,Which algorithm is more secure against brute-force search?,comparative,AES-128,search problems,1.0,0.0,1,0.428,Generation Error (Low Overlap),1,0.0
46,Which of the following is true of the circular economy ?,comparative,The circular economy is a form of economic growth .,2050 level,1.0,0.0,1,0.471,Generation Error (Low Overlap),1,0.0
47,"Which happened first , the codification of the law or the codification of a law of general obligations ?",comparative,codification of the law,"The earliest codification known is the Code of Hammurabi , written in ancient Babylon during the 18th century BC .",0.3333333333333333,0.27272727272727276,1,1.585,Success,3,0.17195918835263102
48,What will happen to the Baka men after they are initiated?,inferential,They will be allowed to live and walk freely within the sacred forest,"Baka are a group of people who are a part of the Baka , they are not a religious group .",1.0,0.14814814814814817,1,1.701,Generation Error (Low Overlap),1,0.08704356530443488
49,What is the most common type of rock?,factual,(iv),Asthenosphere,0.0,0.0,0,0.589,Retrieval Error (Source Not Found),N/A,0.0
50,What is the most important factor that affects the use of renewable energy?,factual,d).,renewable energy,1.0,0.0,1,0.425,Generation Error (Low Overlap),1,0.0
51,What is the best title for this passage?,inferential,atoms,he rewrote the book,0.0,0.0,0,0.679,Retrieval Error (Source Not Found),N/A,0.0
52,Which of the following is not a characteristic of a chimpanzee :,factual,a chimpanzee is a chimpanzee,is a molecule that encodes genetic information,0.3333333333333333,0.4,1,0.835,Success,3,0.47846889952153115
53,"Which happened first , Napoleon Napoleon Bonaparte overthrew the government or Napoleon Bonaparte crowned himself Emperor ?",comparative,Napoleon Napoleon Bonaparte overthrew the government,Napoleon Bonaparte,1.0,0.5714285714285715,1,0.546,Success,1,1.0446591799425438
54,What is the narrator likely to do next?,comparative,They are likely to sign a contract .,The film was directed by Hans Fallada.,0.0,0.0,0,0.866,Retrieval Error (Source Not Found),N/A,0.0
55,What is the most important factor that determines the success of a program?,factual,(iv),"The relevant information to answer the above question is: Memory organization defines how instructions interact with the memory , and how memory interacts with itself .",0.0,0.0,0,1.809,Retrieval Error (Source Not Found),N/A,0.0
56,What may be the reason for central banks to be reluctant to follow money growth targets ?,inferential,They believe that the money stock measures that central banks can control tightly .,Inflation is caused primarily by too much growth in the money supply,1.0,0.16,1,1.084,Generation Error (Low Overlap),1,0.14746543778801843
57,What was the name of the film that El Chocolate was in?,factual,Los Torantos,The Beast in the Jungle,1.0,0.0,1,0.634,Generation Error (Low Overlap),1,0.0
58,Which of the following is true of the Kautiliyam?,comparative,The Kautiliyam is a cipher letter substitution.,statehood,0.5,0.0,1,0.451,Generation Error (Low Overlap),2,0.0
59,Which of the following is true of the enzyme-linked immunosorbent assay ?,comparative,The enzymes are the most important proteins .,The primary structure of a protein is determined by the sequence of amino acids .,1.0,0.2,1,1.112,Success,1,0.17969451931716085
60,Which of the following is true of game theory?,comparative,It is a mathematical model of strategic interactions.,Game Theory,1.0,0.0,1,0.42,Generation Error (Low Overlap),1,0.0
61,Which of the following is not a characteristic of quantum coherence: entanglement or quantum superpositions?,comparative,entanglement,                                                 ,1.0,0.0,1,5.185,Generation Error (Low Overlap),1,0.0
62,What happened to the Bahmani Sultanate in 1490?,factual,revolted,Bengal Sultanate,1.0,0.0,1,0.484,Generation Error (Low Overlap),1,0.0
63,Which of the following is true according to the passage? (A) The sample frequency is higher than the sampling frequency. (B) The sample frequency is higher than the sampling frequency. (C) The sample frequency is higher than the sampling frequency.,multi-hop,(A),signal is a signal that is reconstructed from the sample .,1.0,0.0,1,1.141,Generation Error (Low Overlap),1,0.0
64,What may be the reason for the Entomopter's lack of flight ability?,inferential,It is a biologically-inspired flying robot.,China,1.0,0.0,1,0.375,Generation Error (Low Overlap),1,0.0
65,What is the smallest element in the periodic table ?,factual,elemen,isotopes have two protons,1.0,0.0,1,0.8,Generation Error (Low Overlap),1,0.0
66,What is the narrator likely to do next?,inferential,They are likely to discuss imperialism .,The film was directed by Hans Fallada.,0.0,0.0,0,0.88,Retrieval Error (Source Not Found),N/A,0.0
67,Which of the following is true according to the passage? (A) The Internet is a good source of information. (B) The Internet is a good source of information. (C) The Internet is a good source of information.,multi-hop,(B),Control information ),0.0,0.0,0,0.571,Retrieval Error (Source Not Found),N/A,0.0
68,What may be the reason for the passage of the law ?,inferential,The state was a state .,is above the law,0.0,0.22222222222222224,0,0.546,Retrieval Error (Source Not Found),N/A,0.4062563477554337
69,Which of the following is true of an embedded system:,comparative,(iii).,hardware must be able to process events at a precise moment in time .,0.5,0.0,1,1.186,Generation Error (Low Overlap),2,0.0
70,What is the most likely reason that Al-Jazari invented programmable automata/robots ?,inferential,He wanted to make music .,Chinese man sailed to Egypt,1.0,0.1818181818181818,1,0.647,Generation Error (Low Overlap),1,0.2805836139169472
71,"Which happened first, Sun Yat-sen becoming President of the Republic of China or Yuan Shikai becoming President of the New Army?",comparative,Sun Yat-sen becoming President of the Republic of China,"Warlord Era , China was ruled by shifting coalitions of competing provincial military leaders and the Beiyang government .",1.0,0.22222222222222218,1,1.688,Success,1,0.1315702914281955
72,What is the narrator likely to do next ?,inferential,They are likely to study the planets .,The film was directed by Hans Fallada.,0.0,0.13333333333333333,0,0.852,Retrieval Error (Source Not Found),N/A,0.15631105900742479
73,Which of the following is true according to the text? (A) The text is a text that is written by a person. (B) The text is a text that is written by a person. (C) The text is a text that is written by a person.,multi-hop,(B),NLP's ability to understand and interpret natural language,0.5,0.0,1,0.873,Generation Error (Low Overlap),2,0.0
74,Which of the following is true of biodiversity?,comparative,It provides ecosystem services,The narrator is discussing the study of biodiversity .,0.5,0.0,1,0.959,Generation Error (Low Overlap),2,0.0
75,Which of the following is true according to the passage ? (A) The graph is a graphical representation of the graph. (B) The graph is a graphical representation of the graph. (C) The graph is a graphical representation of the graph.,multi-hop,(B),To provide a model for generating useful knowledge graph embeddings .,0.0,0.0,0,1.155,Retrieval Error (Source Not Found),N/A,0.0
76,Which of the following is true of John Leslie ?,comparative,He is a scientist .,common law,0.0,0.0,0,0.404,Retrieval Error (Source Not Found),N/A,0.0
77,What may be the reason for the author to be so critical of fossil fuel companies ?,inferential,They believe that they are a threat to the environment .,Inactivism,1.0,0.0,1,0.471,Generation Error (Low Overlap),1,0.0
78,What is the narrator likely to do next?,inferential,They are likely to take a break .,The film was directed by Hans Fallada.,0.0,0.0,0,0.864,Retrieval Error (Source Not Found),N/A,0.0
79,Which of the following is true of the Trinity site?,comparative,It is located at an elevation of about 20 miles ( 32 km ) northwest of Little Black Peak .,yszczyski,0.5,0.0,1,0.672,Generation Error (Low Overlap),2,0.0
80,Which of the following is true of the text ?,comparative,The text is a political one .,"The following books are in the collection of Hindi Poetry collection Indradhanush Shabd Ho Gaye , Praveen Prakashan , Delhi 1992 Novels Akash Mera Nahi , Praveen Prakashan , Delhi , 1988 File Gawah Hai , Nalanda Prakashan , Delhi , 1988 Dashansh , Anurag Prakashan , New Delhi , 1991 Shank",0.0,0.05128205128205128,0,5.013,Retrieval Error (Source Not Found),N/A,0.010227772493428655
81,Which of the following is true of TPUs ?,comparative,They are a key component of AI infrastructure .,is less effective in children compared to adults .,0.5,0.1111111111111111,1,0.803,Generation Error (Low Overlap),2,0.13819789939192922
82,What is the main difference between the two groups of people?,factual,"The bourgeoisie produces above all is its own grave diggers '' , namely the working class , which must become conscious of the historical objectives set it by society . Reform versus revolution Revolutionary socialists believe that a social revolution is necessary to effect structural changes to the socioeconomic structure of society . Among revolutionary socialists there are differences in strategy , theory and the definition of revolution . Orthodox Marxists and left comm",The context is a sociological study of ethnic diversity .,0.0,0.15151515151515152,0,0.946,Retrieval Error (Source Not Found),N/A,0.15999488016383476
83,What is the most common type of testing?,factual,(iv),white-box,1.0,0.0,1,0.489,Generation Error (Low Overlap),1,0.0
84,Which of the following is true of the information classification policy ?,comparative,"The policy should describe the different classification labels , define the criteria for information to be assigned a particular label , and list the required security controls for each classification .",access to information,1.0,0.14285714285714285,1,0.492,Generation Error (Low Overlap),1,0.28977108084613157
85,What may be the reason for the high-level description of the computer architecture ?,inferential,The purpose of the description is to avoid details of the implementation .,Project Stretch,1.0,0.0,1,0.429,Generation Error (Low Overlap),1,0.0
86,Question: What is the best title for the passage?Options:A Anti-work ethic for lifeB Anti-work ethic for workC Anti-work ethic for lifeD Anti-work ethic for lifeAnswer:A,multi-hop,Anti-work ethic for life,Human Rights : A Non-Religious Grounding in a Pluralistic World,0.5,0.0,1,1.241,Generation Error (Low Overlap),2,0.0
87,Which of the following is not a type of government: the government of China or the government of the United States?,factual,the government of China,DARPAN portal,0.0,0.0,0,0.546,Retrieval Error (Source Not Found),N/A,0.0
88,What may be the reason for the children to have their heads shaved ?,inferential,They wanted to be clean .,documented,1.0,0.0,1,0.365,Generation Error (Low Overlap),1,0.0
89,What is the main reason that the government is unable to regulate the economy?,factual,The government is not able to regulate the economy.,market failure,0.0,0.0,0,0.407,Retrieval Error (Source Not Found),N/A,0.0
90,What may be the reason for Bentley's popularity ?,inferential,He is a professional jazz saxophonist .,"The relevant sentence in the passage is: Mary Beth Bentley ( born May 30 , 1969 ) , better known by her ring name Lexie Fyfe , is an American professional wrestler . She also appeared on WWE Raw as the  fake Hillary Clinton ''.",1.0,0.125,1,3.23,Generation Error (Low Overlap),1,0.03868771278242031
91,Which of the following is true of the present-day climate change?,comparative,The current-day climate change is a result of human activities.,Pre-industrial era,1.0,0.0,1,0.552,Generation Error (Low Overlap),1,0.0
92,What is the difference between a '' '' and a '' ?,factual,a '' is a '' .,Named entity recognition,0.0,0.0,0,0.467,Retrieval Error (Source Not Found),N/A,0.0
93,What may be the reason for the speaker to be concerned about energy storage ?,inferential,They are concerned about the long-term viability of energy storage .,are done to assess the impact of the European NIS2 directive on the energy generation market .,1.0,0.3846153846153846,1,1.269,Success,1,0.30284675953967294
94,"i = 0 k H ( p i ) =  i = 0 k G ( q i )  displaystyle sum _  i = 0    k  G ( q_  i  )  ( see figure 2 ) . From the uniform distribution , the probability of q i",inferential,"i = 0 k H ( p i ) =  i = 0 k G ( q i )  displaystyle sum _  i = 0    k  G ( q_  i  )  ( see figure 2 ) . From the uniform distribution , the probability of q i",ds = displaystyle int _  p_  0                                      ,1.0,0.25,1,5.095,Success,1,0.04905808477237049
95,What may be the reason for the speaker to be so critical of the writer ?,inferential,They think the writer is a bad writer .,The Wind Bites,0.0,0.18181818181818182,0,0.472,Retrieval Error (Source Not Found),N/A,0.3843936190659235
96,Which of the following is true of the book 'Imagine '?,comparative,It is a companion to the John Lennon book .,The relevant information to answer the above question is:,1.0,0.22222222222222224,1,0.786,Success,1,0.2823662289990117
97,What is the most common type of clothing used by Egyptians?,factual,combs,documented,1.0,0.0,1,0.345,Generation Error (Low Overlap),1,0.0
98,What will happen to the system if it is not tampered with?,inferential,it will be more secure,                                                 ,0.0,0.0,0,5.075,Retrieval Error (Source Not Found),N/A,0.0
99,What is the most common type of power plant?,factual,(4).,The relevant sentence in the passage is: Small hydro is hydroelectric power on a scale serving a small community or industrial plant . The definition of a small hydro project varies but a generating capacity of up to 10 megawatts ( MW ) is generally accepted,0.25,0.0,1,3.073,Generation Error (Low Overlap),4,0.0
